team_id_home,home_team,game_id,game_date,matchup_home,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,pts_home,team_id_away,team_abbreviation_away,wl_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,pts_away
1610612738,BOS,20800069,07/11/2008 00:00,BOS vs. MIL,W,38,79,0.481,4,17,0.235,21,27,0.778,101,1610612749,MIL,L,31,78,0.397,6,15,0.4,21,28,0.75,89
1610612746,LAC,20800078,07/11/2008 00:00,LAC vs. HOU,L,36,83,0.434,3,11,0.273,8,14,0.571,83,1610612745,HOU,W,34,79,0.43,6,16,0.375,18,21,0.857,92
1610612739,CLE,20800070,07/11/2008 00:00,CLE vs. IND,W,40,77,0.519,7,20,0.35,24,28,0.857,111,1610612754,IND,L,43,90,0.478,10,25,0.4,11,11,1,107
1610612751,NJN,20800071,07/11/2008 00:00,NJN vs. DET,W,35,82,0.427,3,13,0.231,30,36,0.833,103,1610612765,DET,L,28,75,0.373,10,25,0.4,30,39,0.769,96
1610612743,DEN,20800076,07/11/2008 00:00,DEN vs. DAL,W,34,88,0.386,3,12,0.25,37,40,0.925,108,1610612742,DAL,L,39,96,0.406,13,35,0.371,14,16,0.875,105
1610612737,ATL,20800068,07/11/2008 00:00,ATL vs. TOR,W,44,81,0.543,12,20,0.6,10,13,0.769,110,1610612761,TOR,L,35,81,0.432,4,9,0.444,18,22,0.818,92
1610612741,CHI,20800073,07/11/2008 00:00,CHI vs. PHX,W,40,77,0.519,6,16,0.375,14,24,0.583,100,1610612756,PHX,L,28,69,0.406,4,10,0.4,23,29,0.793,83
1610612762,UTA,20800074,07/11/2008 00:00,UTA vs. OKC,W,36,72,0.5,6,13,0.462,26,36,0.722,104,1610612760,OKC,L,35,81,0.432,5,8,0.625,22,30,0.733,97
1610612764,WAS,20800067,07/11/2008 00:00,WAS vs. NYK,L,46,89,0.517,5,16,0.313,11,19,0.579,108,1610612752,NYK,W,46,90,0.511,13,32,0.406,9,19,0.474,114
1610612766,CHA,20800066,07/11/2008 00:00,CHA vs. NOH,W,28,67,0.418,7,18,0.389,29,31,0.935,92,1610612740,NOH,L,32,76,0.421,11,28,0.393,14,19,0.737,89
1610612758,SAC,20800075,07/11/2008 00:00,SAC vs. MIN,W,46,84,0.548,7,18,0.389,22,23,0.957,121,1610612750,MIN,L,36,84,0.429,8,23,0.348,29,33,0.879,109
1610612741,CHI,20800082,08/11/2008 00:00,CHI vs. CLE,L,36,85,0.424,5,13,0.385,20,23,0.87,97,1610612739,CLE,W,38,82,0.463,6,16,0.375,24,28,0.857,106
1610612740,NOH,20800081,08/11/2008 00:00,NOH vs. MIA,W,34,76,0.447,10,27,0.37,22,29,0.759,100,1610612748,MIA,L,31,72,0.431,8,21,0.381,19,26,0.731,89
1610612754,IND,20800079,08/11/2008 00:00,IND vs. NJN,W,36,82,0.439,11,33,0.333,15,22,0.682,98,1610612751,NJN,L,29,75,0.387,6,18,0.333,16,26,0.615,80
1610612753,ORL,20800080,08/11/2008 00:00,ORL vs. WAS,W,39,78,0.5,8,24,0.333,20,30,0.667,106,1610612764,WAS,L,31,79,0.392,6,16,0.375,13,18,0.722,81
1610612749,MIL,20800083,08/11/2008 00:00,MIL vs. PHX,L,37,86,0.43,5,8,0.625,17,22,0.773,96,1610612756,PHX,W,27,61,0.443,6,20,0.3,44,54,0.815,104
1610612757,POR,20800084,08/11/2008 00:00,POR vs. MIN,W,34,73,0.466,7,21,0.333,22,30,0.733,97,1610612750,MIN,L,35,84,0.417,5,12,0.417,18,24,0.75,93
1610612743,DEN,20800090,09/11/2008 00:00,DEN vs. MEM,W,33,78,0.423,4,16,0.25,30,45,0.667,100,1610612763,MEM,L,27,71,0.38,5,16,0.313,31,38,0.816,90
1610612746,LAC,20800087,09/11/2008 00:00,LAC vs. DAL,W,38,78,0.487,9,20,0.45,18,23,0.783,103,1610612742,DAL,L,36,87,0.414,3,18,0.167,17,23,0.739,92
1610612760,OKC,20800089,09/11/2008 00:00,OKC vs. ATL,L,34,87,0.391,2,8,0.25,15,20,0.75,85,1610612737,ATL,W,29,78,0.372,7,17,0.412,24,33,0.727,89
1610612765,DET,20800088,09/11/2008 00:00,DET vs. BOS,L,26,75,0.347,5,14,0.357,19,28,0.679,76,1610612738,BOS,W,33,74,0.446,4,8,0.5,18,23,0.783,88
1610612766,CHA,20800085,09/11/2008 00:00,CHA vs. TOR,L,30,81,0.37,5,18,0.278,14,19,0.737,79,1610612761,TOR,W,35,71,0.493,4,17,0.235,15,20,0.75,89
1610612758,SAC,20800091,09/11/2008 00:00,SAC vs. GSW,W,42,88,0.477,5,13,0.385,26,32,0.813,115,1610612744,GSW,L,39,95,0.411,3,14,0.214,17,26,0.654,98
1610612752,NYK,20800086,09/11/2008 00:00,NYK vs. UTA,W,36,85,0.424,11,24,0.458,24,29,0.828,107,1610612762,UTA,L,40,79,0.506,5,14,0.357,14,18,0.778,99
1610612747,LAL,20800092,09/11/2008 00:00,LAL vs. HOU,W,42,79,0.532,9,17,0.529,18,23,0.783,111,1610612745,HOU,L,31,82,0.378,7,20,0.35,13,19,0.684,82
1610612738,BOS,20800095,10/11/2008 00:00,BOS vs. TOR,W,32,73,0.438,6,20,0.3,24,27,0.889,94,1610612761,TOR,L,33,77,0.429,8,19,0.421,13,18,0.722,87
1610612756,PHX,20800097,10/11/2008 00:00,PHX vs. MEM,W,37,76,0.487,8,21,0.381,25,28,0.893,107,1610612763,MEM,L,38,86,0.442,4,15,0.267,22,25,0.88,102
1610612754,IND,20800093,10/11/2008 00:00,IND vs. OKC,W,41,85,0.482,4,14,0.286,21,29,0.724,107,1610612760,OKC,L,36,93,0.387,5,11,0.455,22,26,0.846,99
1610612748,MIA,20800096,10/11/2008 00:00,MIA vs. NJN,W,31,70,0.443,11,25,0.44,26,32,0.813,99,1610612751,NJN,L,33,71,0.465,13,25,0.52,15,20,0.75,94
1610612753,ORL,20800094,10/11/2008 00:00,ORL vs. POR,L,32,71,0.451,7,24,0.292,28,38,0.737,99,1610612757,POR,W,35,80,0.438,9,17,0.529,27,32,0.844,106
1610612766,CHA,20800098,11/11/2008 00:00,CHA vs. DEN,L,31,77,0.403,7,27,0.259,11,17,0.647,80,1610612743,DEN,W,32,73,0.438,4,15,0.267,20,28,0.714,88
1610612744,GSW,20800105,11/11/2008 00:00,GSW vs. MIN,W,38,80,0.475,8,19,0.421,29,37,0.784,113,1610612750,MIN,L,47,110,0.427,5,25,0.2,11,14,0.786,110
1610612739,CLE,20800099,11/11/2008 00:00,CLE vs. MIL,W,35,72,0.486,3,20,0.15,26,32,0.813,99,1610612749,MIL,L,30,79,0.38,7,16,0.438,26,31,0.839,93
1610612742,DAL,20800102,11/11/2008 00:00,DAL vs. LAL,L,36,86,0.419,6,22,0.273,21,28,0.75,99,1610612747,LAL,W,42,95,0.442,2,13,0.154,20,26,0.769,106
1610612759,SAS,20800103,11/11/2008 00:00,SAS vs. NYK,W,36,81,0.444,8,19,0.421,12,20,0.6,92,1610612752,NYK,L,30,79,0.38,9,21,0.429,11,17,0.647,80
1610612755,PHI,20800100,11/11/2008 00:00,PHI vs. UTA,L,29,76,0.382,2,9,0.222,20,24,0.833,80,1610612762,UTA,W,38,87,0.437,4,17,0.235,13,18,0.722,93
1610612758,SAC,20800104,11/11/2008 00:00,SAC vs. DET,L,39,80,0.488,4,14,0.286,10,17,0.588,92,1610612765,DET,W,32,77,0.416,6,19,0.316,30,36,0.833,100
1610612741,CHI,20800101,11/11/2008 00:00,CHI vs. ATL,L,42,94,0.447,6,18,0.333,18,25,0.72,108,1610612737,ATL,W,39,83,0.47,7,17,0.412,28,36,0.778,113
1610612761,TOR,20800106,12/11/2008 00:00,TOR vs. PHI,L,34,80,0.425,5,21,0.238,23,28,0.821,96,1610612755,PHI,W,43,80,0.538,6,11,0.545,14,17,0.824,106
1610612756,PHX,20800116,12/11/2008 00:00,PHX vs. HOU,L,32,85,0.376,3,14,0.214,15,17,0.882,82,1610612745,HOU,W,39,86,0.453,6,17,0.353,10,15,0.667,94
1610612748,MIA,20800108,12/11/2008 00:00,MIA vs. POR,L,34,72,0.472,9,23,0.391,19,24,0.792,96,1610612757,POR,W,37,78,0.474,7,19,0.368,23,31,0.742,104
1610612764,WAS,20800114,12/11/2008 00:00,WAS vs. UTA,W,29,71,0.408,5,14,0.357,32,40,0.8,95,1610612762,UTA,L,33,76,0.434,7,19,0.368,14,19,0.737,87
1610612738,BOS,20800107,12/11/2008 00:00,BOS vs. ATL,W,32,76,0.421,5,24,0.208,34,42,0.81,103,1610612737,ATL,L,31,68,0.456,13,22,0.591,27,33,0.818,102
